DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,ph_0-5_mean
"1860",Venango,"420","1210","14","1210",VENANGO,Pennsylvania,"14","1210",0.00000,"420","1210",1538.00000000,1348468.73904813,556679.91251618,G4201210,"4201210",2350603313.71000003815,235776.51079299999,48.5406158833063
"1860",Wright,"190","1970","31","1970",WRIGHT,Iowa,"31","1970",0.00000,"190","1970",735.00000000,184343.18919252,588278.41863472,G1901970,"1901970",1508755622.33999991417,155261.19407200001,67.140225279958
"1860",Union,"130","2910","44","2910",UNION,Georgia,"44","2910",0.00000,"130","2910",306.00000000,1086493.91229458,-229809.40559317,G1302910,"1302910",852175323.60800015926,166064.86403299999,50.6852046860603
"1860",Grayson,"480","1810","49","1810",GRAYSON,Texas,"49","1810",0.00000,"480","1810",1698.00000000,-62424.16804244,-433290.35354655,G4801810,"4801810",2536123811.01000022888,242608.32644199999,65.2645437262357
"1860",Orleans,"220","0710","45","710",ORLEANS,Louisiana,"45","710",0.00000,"220","0710",335.00000000,585887.88001923,-816852.30625218,G2200710,"2200710",625599161.32799994946,260615.30833900001,55.5874373956594
"1860",Jefferson,"480","2450","49","2450",JEFFERSON,Texas,"49","2450",0.00000,"480","2450",1715.00000000,176522.08422873,-848647.28344952,G4802450,"4802450",2488680959.55000019073,344947.66966399999,56.2289183222958
"1860",Vermillion,"220","1130","45","1130",VERMILLION,Louisiana,"45","1130",0.00000,"220","1130",351.00000000,344871.83030991,-849421.45870932,G2201130,"2201130",4457936321.89000034332,439625.48364900000,58.5388366151545
"1860",Auglaize,"390","0110","24","110",AUGLAIZE,Ohio,"24","110",0.00000,"390","0110",1801.00000000,986386.41570200,404239.35137364,G3900110,"3900110",1040444338.65999996662,170116.08857100000,64.3195319531953
"1860",Atchison,"290","0050","34","50",ATCHISON,Missouri,"34","50",0.00000,"290","0050",222.00000000,48209.90688388,328584.31096483,G2900050,"2900050",1417653054.52999997139,188555.80878299999,67.0922586718807
"1860",Powhatan,"510","1450","40","1450",POWHATAN,Virginia,"40","1450",0.00000,"510","1450",1145.00000000,1573100.62432945,155756.12327355,G5101450,"5101450",679616442.54900002480,145232.46624800001,51.4935862123239
"1860",Hopkins,"210","1070","51","1070",HOPKINS,Kentucky,"51","1070",0.00000,"210","1070",2075.00000000,741693.66341701,11594.35057067,G2101070,"2101070",1435465370.75000000000,253298.20861199999,54.7600240954783
"1860",Taylor,"190","1730","31","1730",TAYLOR,Iowa,"31","1730",0.00000,"190","1730",725.00000000,109171.19965994,363536.99311599,G1901730,"1901730",1385187494.97000002861,150093.79197300001,63.8767573489136
"1860",Clark,"535","0055","73","110",CLARK,Washington Territory,"73","110",0.00000,"535","0055",1211.00000000,-2030078.66732484,1233183.46726589,G5350055,"5350055",3628508856.92999982834,271652.98904600000,51.8267108943455
"1860",Scott,"470","1510","54","1510",SCOTT,Tennessee,"54","1510",0.00000,"470","1510",1633.00000000,1019684.29266253,-58005.11746794,G4701510,"4701510",1366220212.46000003815,214543.80525400001,51.7173440771023
"1860",Duplin,"370","0610","47","610",DUPLIN,North Carolina,"47","610",0.00000,"370","0610",914.00000000,1626864.28834395,-131997.15031824,G3700610,"3700610",2121503303.03999996185,203497.03588700001,49.2990709985468
"1860",Hill,"480","2170","49","2170",HILL,Texas,"49","2170",0.00000,"480","2170",1708.00000000,-106483.77370715,-615408.46785508,G4802170,"4802170",2552854396.96000003815,259413.90468300000,70.6338124885552
"1860",Lee,"510","1050","40","1050",LEE,Virginia,"40","1050",0.00000,"510","1050",1116.00000000,1135724.52687957,-11992.52575645,G5101050,"5101050",1132654062.03999996185,206938.64723000000,51.8609952606635
"1860",Greene,"470","0590","54","590",GREENE,Tennessee,"54","590",0.00000,"470","0590",1598.00000000,1168160.37614085,-67220.65158073,G4700590,"4700590",1574683462.99000000954,191674.32515399999,57.0393940442016
"1860",Floyd,"180","0430","22","430",FLOYD,Indiana,"22","430",0.00000,"180","0430",1308.00000000,872473.78231168,138205.81824764,G1800430,"1800430",384124870.39099991322,96888.16493430000,56.8917767988253
"1860",Oswego,"360","0750","13","750",OSWEGO,New York,"13","750",0.00000,"360","0750",1412.00000000,1588762.12319244,830096.04075803,G3600750,"3600750",2628523169.57000017166,297328.65594999999,55.5055900373995
"1860",Passaic,"340","0310","12","310",PASSAIC,New Jersey,"12","310",0.00000,"340","0310",697.00000000,1794178.77699307,601701.26595301,G3400310,"3400310",510359941.33400005102,147871.89052099999,47.1214517723485
"1860",Dorchester,"240","0190","52","170",DORCHESTER,Maryland,"52","170",0.00000,"240","0190",376.00000000,1714839.14208708,291049.91694120,G2400190,"2400190",1511943196.35999989510,775712.40007199999,48.8020791198123
"1860",Somerset,"240","0390","52","350",SOMERSET,Maryland,"52","350",0.00000,"240","0390",969.00000000,1743574.80651594,267627.04690829,G2400390,"2400390",1431079262.18000006676,853366.97409000003,47.9019495412844
"1860",Carroll,"510","0350","40","350",CARROLL,Virginia,"40","350",0.00000,"510","0350",1076.00000000,1344760.31211967,22060.77236100,G5100350,"5100350",1249307955.11999988556,161271.60475299999,51.7205330573166
"1860",Randolph,"370","1510","47","1510",RANDOLPH,North Carolina,"47","1510",0.00000,"370","1510",946.00000000,1445265.86528019,-77059.49067467,G3701510,"3701510",2045921109.28999996185,180803.36345700000,51.2715565809948
"1860",Rockingham,"370","1570","47","1570",ROCKINGHAM,North Carolina,"47","1570",0.00000,"370","1570",949.00000000,1434949.59655421,-895.03260146,G3701570,"3701570",1482342453.85999965668,156241.69683999999,53.0705261593341
"1860",Hancock,"180","0590","22","590",HANCOCK,Indiana,"22","590",0.00000,"180","0590",1315.00000000,865871.12465355,307050.76592622,G1800590,"1800590",794431904.92400014400,118971.36827200001,66.9785222207213
"1860",Crawford,"390","0330","24","330",CRAWFORD,Ohio,"24","330",0.00000,"390","0330",1811.00000000,1090316.78701756,450651.37941105,G3900330,"3900330",1043320847.29999995232,130200.49023200000,60.0907971835147
"1860",Stoddard,"290","2070","34","2070",STODDARD,Missouri,"34","2070",0.00000,"290","2070",437.00000000,535465.49600798,-55897.11358217,G2902070,"2902070",2146349046.17000007629,249201.69906700001,60.4446618012189
"1860",Toombs,"270","1535","33","1670",WILKIN/TOOMBS,Minnesota,"33","1670",0.00000,"270","1535",57.00000000,-28363.24717435,970045.71289234,G2701535,"2701535",2326613619.84000015259,271709.10417200002,72.5343508368159
