GISJOIN_1790,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,STATE,COUNTY,YEAR,GISJOIN_1800,GISJOIN_1810,GISJOIN_1820,GISJOIN_1830,GISJOIN_1840,GISJOIN_1850,GISJOIN_1860,GISJOIN_1870,GISJOIN_1880,GISJOIN_1890,GISJOIN_1900
G5100550,Elizabeth City,510,0550,40,550,ELIZABETH CITY,Virginia,510,0550,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3400110,Cumberland,340,0110,12,110,CUMBERLAND,New Jersey,340,0110,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100617,Fayette (old),510,0617,51,670,FAYETTE,Virginia,510,0617,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101355,Ohio,510,1355,40,1355,OHIO,Virginia,510,1355,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600710,Orange,360,0710,13,710,ORANGE,New York,360,0710,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701290,New Hanover,370,1290,47,1290,NEW HANOVER,North Carolina,370,1290,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900090,New Haven,090,0090,1,90,NEW HAVEN,Connecticut,090,0090,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100290,Buckingham,510,0290,40,290,BUCKINGHAM,Virginia,510,0290,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100410,Chesterfield,510,0410,40,410,CHESTERFIELD,Virginia,510,0410,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701590,Rowan,370,1590,47,1590,ROWAN,North Carolina,370,1590,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701350,Orange,370,1350,47,1350,ORANGE,North Carolina,370,1350,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4200510,Fayette,420,0510,14,510,FAYETTE,Pennsylvania,420,0510,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100970,King And Queen,510,0970,40,970,KING AND QUEEN,Virginia,510,0970,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701310,Northampton,370,1310,47,1310,NORTHAMPTON,North Carolina,370,1310,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100370,Charlotte,510,0370,40,370,CHARLOTTE,Virginia,510,0370,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100030,Albemarle,510,0030,40,30,ALBEMARLE,Virginia,510,0030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2500150,Hampshire,250,0150,3,150,HAMPSHIRE,Massachusetts,250,0150,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3400190,Hunterdon,340,0190,12,190,HUNTERDON,New Jersey,340,0190,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900110,New London,090,0110,1,110,NEW LONDON,Connecticut,090,0110,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4500590,Laurens,450,0590,48,590,LAURENS,South Carolina,450,0590,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101270,New Kent,510,1270,40,1270,NEW KENT,Virginia,510,1270,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100750,Goochland,510,0750,40,750,GOOCHLAND,Virginia,510,0750,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101090,Louisa,510,1090,40,1090,LOUISA,Virginia,510,1090,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100833,Hampshire,510,0833,40,835,HAMPSHIRE,Virginia,510,0833,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700490,Craven,370,0490,47,490,CRAVEN,North Carolina,370,0490,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600435,Indian Lands (No Data),360,0435,NA,NA,Indian Lands (No Data),New York,360,0435,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900030,Hartford,090,0030,1,30,HARTFORD,Connecticut,090,0030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600470,Kings,360,0470,13,470,KINGS,New York,360,0470,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100730,Gloucester,510,0730,40,730,GLOUCESTER,Virginia,510,0730,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101710,Shenandoah,510,1710,40,1710,SHENANDOAH,Virginia,510,1710,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4201010,Philadelphia,420,1010,14,1010,PHILADELPHIA,Pennsylvania,420,1010,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4201330,York,420,1330,14,1330,YORK,Pennsylvania,420,1330,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100670,Franklin,510,0670,40,670,FRANKLIN,Virginia,510,0670,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701830,Wake,370,1830,47,1830,WAKE,North Carolina,370,1830,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700370,Chatham,370,0370,47,370,CHATHAM,North Carolina,370,0370,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4650000,Southwest Territory,465,0000,NA,NA,NA,Southwest Territory,465,0000,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101110,Lunenburg,510,1110,40,1110,LUNENBURG,Virginia,510,1110,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100470,Culpeper,510,0470,40,470,CULPEPER,Virginia,510,0470,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701250,Moore,370,1250,47,1250,MOORE,North Carolina,370,1250,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101131,Madison (old),510,1131,51,1510,MADISON,Virginia,510,1131,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701770,Tyrrell,370,1770,47,1770,TYRRELL,North Carolina,370,1770,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4200550,Franklin,420,0550,14,550,FRANKLIN,Pennsylvania,420,0550,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400210,Frederick,240,0210,52,190,FREDERICK,Maryland,240,0210,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1301535,Indian Lands,130,1535,NA,NA,Indian Lands,Georgia,130,1535,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1301790,Liberty,130,1790,44,1790,LIBERTY,Georgia,130,1790,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2500153,Hancock,250,0153,2,90,HANCOCK,Massachusetts,250,0153,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700190,Brunswick,370,0190,47,190,BRUNSWICK,North Carolina,370,0190,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400390,Somerset,240,0390,52,350,SOMERSET,Maryland,240,0390,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100530,Dinwiddie,510,0530,40,530,DINWIDDIE,Virginia,510,0530,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700510,Cumberland,370,0510,47,510,CUMBERLAND,North Carolina,370,0510,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101177,Mercer (old),510,1177,51,1670,MERCER,Virginia,510,1177,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4500755,Pendleton,450,0755,48,755,PENDLETON,South Carolina,450,0755,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4500870,Union,450,0870,48,870,UNION,South Carolina,450,0870,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701030,Jones,370,1030,47,1030,JONES,North Carolina,370,1030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100950,James City,510,0950,40,950,JAMES CITY,Virginia,510,0950,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3300090,Grafton,330,0090,4,90,GRAFTON,New Hampshire,330,0090,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2500230,Plymouth,250,0230,3,230,PLYMOUTH,Massachusetts,250,0230,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4200910,Montgomery,420,0910,14,910,MONTGOMERY,Pennsylvania,420,0910,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3701550,Robeson,370,1550,47,1550,ROBESON,North Carolina,370,1550,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4200410,Cumberland,420,0410,14,410,CUMBERLAND,Pennsylvania,420,0410,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100690,Frederick,510,0690,40,690,FREDERICK,Virginia,510,0690,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4201250,Washington,420,1250,14,1250,WASHINGTON,Pennsylvania,420,1250,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2500275,York,250,0275,2,310,YORK,Massachusetts,250,0275,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4200495,Erie Triangle (No Data),420,0495,NA,NA,Erie Triangle (No Data),Pennsylvania,420,0495,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1302450,Richmond,130,2450,44,2450,RICHMOND,Georgia,130,2450,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3300110,Hillsborough,330,0110,4,110,HILLSBOROUGH,New Hampshire,330,0110,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100830,Halifax,510,0830,40,830,HALIFAX,Virginia,510,0830,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4400090,Washington,440,0090,5,90,WASHINGTON,Rhode Island,440,0090,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700150,Bertie,370,0150,47,150,BERTIE,North Carolina,370,0150,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600610,New York,360,0610,13,610,NEW YORK,New York,360,0610,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100930,Isle Of Wight,510,0930,40,930,ISLE OF WIGHT,Virginia,510,0930,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700955,Indian Lands,370,0955,NA,NA,Indian Lands,North Carolina,370,0955,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2500055,Cumberland,250,0055,2,50,CUMBERLAND,Massachusetts,250,0055,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101170,Mecklenburg,510,1170,40,1170,MECKLENBURG,Virginia,510,1170,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5000210,Rutland,500,0210,6,210,RUTLAND,Vermont,500,0210,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100610,Fauquier,510,0610,40,610,FAUQUIER,Virginia,510,0610,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101810,Surry,510,1810,40,1810,SURRY,Virginia,510,1810,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600270,Dutchess,360,0270,13,270,DUTCHESS,New York,360,0270,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100890,Henry,510,0890,40,890,HENRY,Virginia,510,0890,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900070,Middlesex,090,0070,1,70,MIDDLESEX,Connecticut,090,0070,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700530,Currituck,370,0530,47,530,CURRITUCK,North Carolina,370,0530,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900010,Fairfield,090,0010,1,10,FAIRFIELD,Connecticut,090,0010,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700770,Granville,370,0770,47,770,GRANVILLE,North Carolina,370,0770,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3700070,Anson,370,0070,47,70,ANSON,North Carolina,370,0070,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3400050,Burlington,340,0050,12,50,BURLINGTON,New Jersey,340,0050,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4500010,Abbeville,450,0010,48,10,ABBEVILLE,South Carolina,450,0010,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101290,Norfolk,510,1290,40,1290,NORFOLK,Virginia,510,1290,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5100330,Caroline,510,0330,40,330,CAROLINE,Virginia,510,0330,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400310,Montgomery,240,0310,52,290,MONTGOMERY,Maryland,240,0310,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900050,Litchfield,090,0050,1,50,LITCHFIELD,Connecticut,090,0050,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400050,Baltimore,240,0050,52,50,BALTIMORE,Maryland,240,0050,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3850000,Territory outline (No Population),385,0000,NA,NA,Territory outline (No Population),Northwest Territory,385,0000,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G0900150,Windham,090,0150,1,150,WINDHAM,Connecticut,090,0150,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2400170,Charles,240,0170,52,150,CHARLES,Maryland,240,0170,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3400270,Morris,340,0270,12,270,MORRIS,New Jersey,340,0270,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1303030,Washington,130,3030,44,3030,WASHINGTON,Georgia,130,3030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5101670,Russell,510,1670,40,1670,RUSSELL,Virginia,510,1670,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
