point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,-0.030204503579168755,0.027366216197067427,0.26971678244949354,64,164,222.8858473549983,222.8858473549983
2,-0.00863250726463087,0.023258788127437,0.7105255539159689,72,183,218.14271833731192,218.14271833731192
3,0.001192206092419692,0.01802894112641748,0.9472764366853215,85,217,234.57393712752594,234.57393712752594
4,0.00119630433110267,0.015172971056208975,0.9371563599670243,84,211,223.58080065949164,223.58080065949164
5,0.02029099308456728,0.01791807572419508,0.25745307458581645,66,139,177.29013892129564,177.29013892129564
6,0.043197641443202955,0.022767769046828958,0.057786308572785015,47,91,144.87213458405742,144.87213458405742
7,-0.010785009266403925,0.022661244023357854,0.6341291719740133,61,96,155.64570199720933,155.64570199720933
8,-0.049186627340332384,0.02967016194770521,0.09736170081181689,60,73,141.89383958501298,141.89383958501298
9,0.012259937838987487,0.028264172847568474,0.6644609268196158,53,59,125.78718776319161,125.78718776319161
10,0.052156499812909776,0.02995315619403756,0.08163645215598364,48,58,123.16609654107626,123.16609654107626
11,0.07642437445630043,0.06140912854880312,0.21331132299654285,26,35,90.36423244948381,90.36423244948381
12,0.045552199272078354,0.04919639978630475,0.3544847172337332,43,36,105.14706204522844,105.14706204522844
13,0.031245318979995614,0.026091969227524298,0.23110895323624306,87,63,146.16485553050714,146.16485553050714
14,0.056554119421107385,0.024337714067899224,0.020140315242928877,119,73,167.13513018684083,167.13513018684083
15,0.03362196799438614,0.023552582821984813,0.15342780259626512,120,52,160.35235328213804,160.35235328213804
16,0.028649228773491065,0.0252883840019583,0.25725594213680214,115,49,153.18499010439623,153.18499010439623
17,0.07569433812135633,0.020792831110356014,2.7220893180032816e-4,270,126,244.28184699847606,244.28184699847606
18,0.040896197274375726,0.021572074457014076,0.057987363467991944,137,81,171.21316353561897,171.21316353561897
19,0.06900380658011071,0.01806011482475999,1.3302785884867488e-4,143,98,176.84342336934736,176.84342336934736
20,0.050787456771663256,0.020384752988722412,0.012722526273260117,122,104,166.17812274905185,166.17812274905185
21,0.09655341705889085,0.022381688369514187,1.6036541809355963e-5,87,85,138.2283547892764,138.2283547892764
22,0.07041774199296971,0.022531187651982806,0.0017759644020949783,138,111,167.1001462568981,167.1001462568981
23,0.06531137797001332,0.0237262143636859,0.005910429904157068,144,113,167.18283969336295,167.18283969336295
24,0.04440333442727627,0.02656470955715563,0.09461982061734985,121,116,160.1701254863081,160.1701254863081
25,0.05422878457635392,0.029654442894237014,0.06744605430213424,114,86,143.94084459549913,143.94084459549913
26,0.04721143275280723,0.024043667504158393,0.049579938010100945,112,119,156.27810966202978,156.27810966202978
27,0.02991738897731392,0.019260297496583305,0.12034690696212962,109,130,160.84319583675023,160.84319583675023
28,0.007754822159791903,0.025126883741315286,0.7576056609807624,94,135,157.03157130330197,157.03157130330197
29,0.01174872941928292,0.016627617262519895,0.4798279844041225,87,131,152.71857518469494,152.71857518469494
30,-0.04408737697573574,0.026622841085949197,0.09772218289701583,73,66,117.87046073776266,117.87046073776266
31,-0.051099616512839265,0.023666086797649418,0.030835303200110763,89,63,127.52978558451149,127.52978558451149
32,0.023521168445787215,0.023884697539307293,0.3247322288952794,151,105,173.78861001748098,173.78861001748098
33,0.07023928841101867,0.025976621785031205,0.006852217105171039,125,51,142.78842151603365,142.78842151603365
34,0.05274552865923538,0.02481350107832992,0.03353002855652862,137,86,162.23933262723412,162.23933262723412
35,0.06466232855411963,0.02712291958098451,0.017123392126801994,123,82,161.71092603122298,161.71092603122298
36,0.04747305709475405,0.020994520785166892,0.023746147822886584,156,123,193.0952195244467,193.0952195244467
37,0.04070694435768651,0.018954339901541637,0.031743011939041596,176,140,213.68402665439154,213.68402665439154
38,0.045388031415404054,0.01991628079986146,0.022670565201627257,183,165,232.8043747662108,232.8043747662108
39,0.04887176995842744,0.020602609686508178,0.017686560503075016,132,166,225.46796857017958,225.46796857017958
40,0.05929952845472495,0.021504560800481545,0.005823939749237362,84,155,206.1009032370869,206.1009032370869
41,0.0491578160931799,0.02088164071971267,0.018566788361282557,166,166,233.22555760084515,233.22555760084515
42,0.033901942228269685,0.02021125485118267,0.09346831798343674,155,130,213.75297179950314,213.75297179950314
43,0.05328294708929081,0.02289300071686019,0.019939858160455966,166,139,220.73889940480694,220.73889940480694
44,0.06335058270883086,0.02158183279018309,0.0033315424575129323,157,131,213.91997827491065,213.91997827491065
45,0.07473281033660775,0.017886757425317215,2.9394364223818755e-5,154,137,216.482628014134,216.482628014134
46,0.05520223846848354,0.01657779017129694,8.687990877788889e-4,155,142,233.81311926894324,233.81311926894324
47,0.05437527521395985,0.016805711779646064,0.0012141989482041546,144,147,240.48450628643948,240.48450628643948
48,0.05143258439199632,0.017564943033546335,0.0034099820703598358,109,133,228.214029256834,228.214029256834
49,0.053837653380128456,0.016180342023491057,8.767632577415468e-4,90,97,195.68762680762566,195.68762680762566
50,0.06737686874843501,0.01902427854642189,3.9766973439139065e-4,79,68,173.5349477715554,173.5349477715554
