point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.021653269684850256,0.0321243995512654,0.5002831245381464,66,189,264.8712631491176,264.8712631491176
2,0.014945861304496127,0.029213227602091208,0.6089220221516385,54,159,209.97500122834606,209.97500122834606
3,0.046435214308428154,0.02637898597510415,0.07835512140834607,48,126,177.51845898202308,177.51845898202308
4,0.06922408184299726,0.02342454968476108,0.0031247279247918133,48,117,170.66989656428566,170.66989656428566
5,0.015262117866294854,0.024793778170549063,0.5381833663824072,40,83,149.0341739988112,149.0341739988112
6,-0.045316615813793384,0.030285369318218396,0.13457018253070946,21,56,121.24731646946923,121.24731646946923
7,0.016894950246502907,0.031726478994315445,0.5943666431971097,25,45,116.46657587701606,116.46657587701606
8,0.02794251380727912,0.043506994911337006,0.5207086897409785,22,23,97.26223083095817,97.26223083095817
9,-0.04757280347203585,0.04200878885678875,0.2574457888590007,20,21,90.12666381921059,90.12666381921059
10,-0.02201560544107399,0.06328021935964617,0.7279103346885136,27,30,106.06414281602885,106.06414281602885
11,0.10437914112184418,0.05327688368577809,0.05009141133876546,13,19,79.74775492003322,79.74775492003322
12,0.14903604503415713,0.04950858015629045,0.0026098341094729486,18,12,75.70165462773605,75.70165462773605
13,0.16788571659827556,0.05086277279614246,9.642392968056239e-4,39,26,111.72588625417008,111.72588625417008
14,0.09535364420204082,0.04218141012169601,0.023786464543221243,60,31,130.07803820561404,130.07803820561404
15,0.06692925689810524,0.028690311571221868,0.019657733140965205,85,27,145.04878630913242,145.04878630913242
16,0.07217273752684075,0.025274956707855123,0.004296859474494881,95,29,150.70769528197852,150.70769528197852
17,0.09506810781404924,0.023087225139920575,3.8254005247541974e-5,88,36,147.1118111251035,147.1118111251035
18,0.10929368595044968,0.020840297987571522,1.5683957508465585e-7,106,54,165.18877580105737,165.18877580105737
19,0.10708014459454797,0.018410859154806433,6.022183468653181e-9,194,111,226.48787736587386,226.48787736587386
20,0.10275953895832741,0.022421638541333774,4.582376752306685e-6,125,94,185.44451337775308,185.44451337775308
21,0.10168826699673339,0.024130632686416128,2.5080527266185185e-5,108,82,169.65598312315205,169.65598312315205
22,0.09660322778026252,0.02852817764412373,7.085764276722824e-4,108,83,163.70699429367684,163.70699429367684
23,0.10134188720616899,0.028488928132958734,3.7477511094288556e-4,127,94,176.00708459557558,176.00708459557558
24,0.08679329433874197,0.0279325007235164,0.0018883591040555934,114,112,175.9009562261953,175.9009562261953
25,0.1002709494878094,0.02628954190597627,1.3667995692520987e-4,146,123,193.5759008261694,193.5759008261694
26,0.09003711310480124,0.017432822560095675,2.406908936035495e-7,134,152,201.18048265921303,201.18048265921303
27,0.08989576739801132,0.01730102051784053,2.0364346955695622e-7,100,129,178.9171950614581,178.9171950614581
28,0.06326710697971667,0.01970689794041675,0.0013254846461942097,98,151,186.72537852447874,186.72537852447874
29,0.006627613226344158,0.026133507306218867,0.7997999912014164,62,109,152.38125674116077,152.38125674116077
30,-0.043075814323240466,0.030734882579508523,0.16105608685225728,47,42,107.58579840312186,107.58579840312186
31,-0.04899057603350455,0.027730695890938233,0.07728600288776583,49,33,108.58017703447224,108.58017703447224
32,0.006906754607584385,0.04019843695839101,0.8635817959678458,74,46,132.5046550771382,132.5046550771382
33,0.04749870043458515,0.0356322771052849,0.18252374487225798,89,31,134.05090438638732,134.05090438638732
34,0.09679734159812223,0.044955465525143214,0.03130430360245596,76,44,138.37906394696083,138.37906394696083
35,0.08202089308007537,0.04371734162881761,0.060632793439370065,81,46,145.95610990842218,145.95610990842218
36,0.07703417201731388,0.030501205589828936,0.011549737871898651,69,65,151.90112527878887,151.90112527878887
37,0.06397189112700034,0.028083577565705894,0.02273187891892416,99,86,182.74010354554747,182.74010354554747
38,0.06811220922103987,0.025690396695600547,0.008018942040415127,123,120,213.30648168996424,213.30648168996424
39,0.038965978829078436,0.03262099684429756,0.2322800666601212,70,109,196.09133916840258,196.09133916840258
40,0.037382675309314994,0.052180141852395195,0.4737346743632456,41,95,175.11029142382895,175.11029142382895
41,0.06366225283155696,0.028452076586523767,0.025252000974257317,89,104,200.54126009705485,200.54126009705485
42,0.07945889640123839,0.030132987492942784,0.008365749333209185,86,81,178.3707534696738,178.3707534696738
43,0.07446084020143073,0.0374484471732895,0.046772344474670574,110,85,194.42421304328548,194.42421304328548
44,0.07457276930900271,0.028444588506324645,0.008749609505291025,128,101,208.6753077629789,208.6753077629789
45,0.07135617569328637,0.023704501910727743,0.0026104365860998642,141,124,229.82935361731515,229.82935361731515
46,0.06765440565963936,0.020599764538135324,0.0010226070853133718,134,120,234.70113924399553,234.70113924399553
47,0.06625241899172725,0.01997819737791575,9.123871847723715e-4,117,116,231.40391157483924,231.40391157483924
48,0.05907487552841638,0.022050245063553683,0.00738197042404012,109,134,245.97229139326845,245.97229139326845
49,0.04662812091049503,0.023683898334571952,0.04897964272068645,125,136,263.66534578729454,263.66534578729454
50,0.036017587295468334,0.027010443692529085,0.18237796690380717,118,98,249.0509863695016,249.0509863695016
