point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,-0.008126744689578823,0.03902677460950049,0.8350453958729098,47,144,214.44359000288506,214.44359000288506
2,-1.4561997084217883e-4,0.029787484598769887,0.9960994536713585,50,149,203.9161776750101,203.9161776750101
3,0.03323179764389325,0.023161697860204923,0.15135156137322714,62,183,221.34329284499626,221.34329284499626
4,0.05935972607593617,0.02182164539620055,0.006523804563028875,50,137,184.04932061697374,184.04932061697374
5,0.007957914919085955,0.02498246559368135,0.75007534789399255,40,82,148.04934416822218,148.04934416822218
6,-0.040411785644757316,0.02792078518260583,0.14779253337566173,26,68,130.3227842669721,130.3227842669721
7,-0.023835116483788818,0.026121195940903823,0.36151513406124036,29,53,122.53008923402672,122.53008923402672
8,-0.04555655756940931,0.03469244837272006,0.18913076733581685,28,28,105.76964902005152,105.76964902005152
9,-0.11678923299047758,0.03978277498674813,0.0033282457270448714,24,30,101.8505405899526,101.8505405899526
10,-0.09771251349604448,0.05754443685450818,0.08950100643074625,31,35,111.68862109732038,111.68862109732038
11,-0.05311941151763195,0.06347575320772518,0.4026793021722784,16,22,84.07340360240642,84.07340360240642
12,-0.04664714704364695,0.054537654628880924,0.3923740154790839,18,13,81.11930934077574,81.11930934077574
13,0.08970874425684724,0.039661283412387775,0.023705316167711085,41,28,116.09204334613618,116.09204334613618
14,0.08225983836646711,0.03428087491317719,0.016413714162282166,61,31,131.94027917510712,131.94027917510712
15,0.05509223343581382,0.026704966207669167,0.03911302611786034,80,26,140.86528559250846,140.86528559250846
16,0.06075855062079818,0.02599759777654861,0.019434855147041925,86,27,142.56088722375418,142.56088722375418
17,0.08804013316732415,0.017232627614620726,3.2400377386537827e-7,140,59,186.97319291057067,186.97319291057067
18,0.0834244404581902,0.017229419605625684,1.2855413500760088e-6,122,63,177.44556572534268,177.44556572534268
19,0.07826666556607884,0.01785215302903838,1.1643506460001545e-5,111,69,169.8647342536771,169.8647342536771
20,0.06353239705516892,0.020420699343180682,0.0018634361224784436,92,76,161.26898380110927,161.26898380110927
21,0.07306096118259002,0.02276578615577829,0.0013308452965454653,87,72,153.53583987002162,153.53583987002162
22,0.07193118866858111,0.029918285556592743,0.016205463228691628,96,78,156.26649461671653,156.26649461671653
23,0.07391614511316971,0.037824801294438465,0.05068094974108123,89,66,143.79163164986267,143.79163164986267
24,0.038931140898716854,0.03575800399023616,0.2762689070791297,75,69,134.87340532959664,134.87340532959664
25,0.070138147596693,0.04131313185005068,0.08956054165631484,79,49,128.02460535204256,128.02460535204256
26,0.07511234941621185,0.02386076086918256,0.0016442294432018059,64,60,126.37731203540375,126.37731203540375
27,0.06461034878111539,0.02191902342503943,0.003201644316371973,64,80,134.7590003592369,134.7590003592369
28,0.017758252358413086,0.02723495373248755,0.5143760050863969,55,88,134.83665326964544,134.83665326964544
29,-0.043504514456728705,0.02870083977889739,0.12957185751816744,44,80,125.93671417232365,125.93671417232365
30,-0.06538974461103918,0.031249723152006317,0.03639467273783419,43,40,102.38684670075203,102.38684670075203
31,-0.05799289260085296,0.027647230110618794,0.0359402945327524,49,32,107.77873332001447,107.77873332001447
32,-0.002865626719381203,0.03955774249025363,0.9422504684410105,74,46,133.17302970558575,133.17302970558575
33,0.038402098165990384,0.036125595198843626,0.28777453910220496,89,30,133.06221579098457,133.06221579098457
34,0.08525689511264523,0.04276378357084522,0.04618807185618344,79,44,139.10069687925161,139.10069687925161
35,0.07091482824831084,0.04063171231156628,0.08093137419457483,81,47,146.59868749067985,146.59868749067985
36,0.07396818778864886,0.028594770558736732,0.00968793197295979,70,66,152.4053753555755,152.4053753555755
37,0.06730147053652168,0.02773634949283667,0.015246434174925905,99,86,182.37887772628457,182.37887772628457
38,0.06815323072696541,0.025444473683100738,0.007395092730588551,114,112,209.7839205448545,209.7839205448545
39,0.051649294511703,0.03159221992736632,0.10207549345070437,72,112,197.31995449093708,197.31995449093708
40,0.07932645270983556,0.048285941129737685,0.10041442512518248,42,100,177.7981725437149,177.7981725437149
41,0.06731159227441819,0.02862680437032572,0.0187055073844851,84,102,194.9178278611713,194.9178278611713
42,0.08045488865835144,0.03223341594659696,0.01255994987753728,75,74,168.73850364421403,168.73850364421403
43,0.07294233874344949,0.03848515166711505,0.05804774575844123,104,83,189.3947195292457,189.3947195292457
44,0.07460639718618577,0.029949664051650986,0.012736276465710569,122,93,200.368015736506,200.368015736506
45,0.07254898395012557,0.02491454496473813,0.003592228305597167,129,116,218.42544324872782,218.42544324872782
46,0.07342427382415444,0.02151814450814052,6.444014287966928e-4,125,114,223.9613497783883,223.9613497783883
47,0.07143791380236647,0.020659788357236645,5.445568322875366e-4,115,113,227.55331779803618,227.55331779803618
48,0.06062050057813396,0.02351291562590866,0.00993225903825887,106,128,242.18050798954476,242.18050798954476
49,0.05433050895558683,0.025366842577916066,0.03221019663925026,118,127,255.3406025031892,255.3406025031892
50,0.049684605507603403,0.02850347937181188,0.08131498069710294,112,96,242.87342213370124,242.87342213370124
