point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.07469090988480809,0.023269685920617855,0.0013282989895704715,123,301,360.67961995961696,360.67961995961696
2,0.06215059851905291,0.01811169636588385,6.002149548780445e-4,180,426,438.65698814748094,438.65698814748094
3,0.05846659764186679,0.016615459531005357,4.334917113978112e-4,148,391,372.08675126978414,372.08675126978414
4,0.0172155698211498,0.018060456792499208,0.3404791424205383,103,280,267.3124703280514,267.3124703280514
5,0.003618657553340565,0.022040402778708803,0.8695871512568816,91,259,243.5643702532841,243.5643702532841
6,0.0025144164618313702,0.025609646948542418,0.9217874620012599,70,151,187.04809248437715,187.04809248437715
7,-0.02387845383662457,0.02587315729435257,0.3560569644460244,69,111,168.3693166394455,168.3693166394455
8,-0.051850617837358115,0.03525214199796651,0.14133165039529658,52,58,127.04224361055168,127.04224361055168
9,0.020801296220239074,0.033186970717729865,0.5307962110528941,47,52,121.87132691497278,121.87132691497278
10,0.06210133423065356,0.03332241619258384,0.06237081514744981,44,45,111.35569172689495,111.35569172689495
11,0.12457883219764376,0.05059350642499761,0.013803056827125243,30,43,99.26940497055777,99.26940497055777
12,0.07695671267824955,0.047070916684282586,0.10206791459354722,61,48,123.64625020146946,123.64625020146946
13,0.0411429081974366,0.027055604727600047,0.12834024169713906,105,73,161.21873825074638,161.21873825074638
14,0.06103638076053586,0.024301075547254178,0.012016001709365,139,87,183.64115708270663,183.64115708270663
15,0.05965525431872942,0.02360367374148583,0.011491984182825248,167,77,196.5531565445906,196.5531565445906
16,0.07218272362565337,0.023399105608904368,0.002036550487302852,207,92,216.55999831818642,216.55999831818642
17,0.07049342838987593,0.028745208934973794,0.014192495710710682,164,81,186.51742073818528,186.51742073818528
18,0.05360843827722972,0.027320270904947742,0.049736636592546846,132,78,168.08996516290176,168.08996516290176
19,0.09146754099957155,0.01878912028666706,1.1266950157977794e-6,206,132,215.21143049004618,215.21143049004618
20,0.08669294992725707,0.019348190657999257,7.440741809073139e-6,210,153,217.35668740653847,217.35668740653847
21,0.10895109654022361,0.022302513949796248,1.0335083562295588e-6,127,106,165.5588393206088,165.5588393206088
22,0.08898030527787526,0.017356361307004436,2.949146135854441e-7,253,195,244.8096388568037,244.8096388568037
23,0.08618689613967057,0.02242383805023829,1.2127271534278593e-4,170,132,186.17406187590055,186.17406187590055
24,0.06635094573305045,0.01726702276277053,1.2171813148253661e-4,275,239,262.99991570584075,262.99991570584075
25,0.07077266801726934,0.013466418041217953,1.4762833373953395e-7,477,324,348.4040357406395,348.4040357406395
26,0.05768521846490238,0.01623059885685137,3.7927078848625537e-4,261,250,258.4769579603065,258.4769579603065
27,0.04950051119667309,0.014354284954292236,5.637444387199866e-4,240,251,255.27706921867718,255.27706921867718
28,0.04324458306043555,0.017592003778775005,0.013963716858382868,191,230,232.13181737084128,232.13181737084128
29,0.046355985738951055,0.014640918713584954,0.0015444786786430983,130,179,189.95331141983317,189.95331141983317
30,-0.024375566687568462,0.030006256449450187,0.4165911287115969,75,69,121.00947599197363,121.00947599197363
31,-0.03308591658459292,0.030071379261984606,0.27122492651262253,82,53,117.4217195630892,117.4217195630892
32,0.020108308238710126,0.026200643767236624,0.44279985110489606,123,84,156.45255741780082,156.45255741780082
33,0.06129915239462003,0.02865814492268813,0.03243741939459384,111,46,135.17212481939828,135.17212481939828
34,0.03266434275609864,0.02840270793093971,0.25012605506315577,125,74,154.39923835786806,154.39923835786806
35,0.03940377841529896,0.02996189958588514,0.1884663793089531,118,80,158.03655054991506,158.03655054991506
36,0.02970935752899484,0.023525151878804287,0.20663362673080668,115,104,170.525060097528,170.525060097528
37,0.02812302100154862,0.020810645406984324,0.17657479849454713,120,107,178.96562845177138,178.96562845177138
38,0.04048701577036029,0.022613375206865727,0.07338942573276136,113,120,192.14491724360389,192.14491724360389
39,0.05709812634845335,0.02270359423345476,0.011905340037504807,95,137,198.2728344259883,198.2728344259883
40,0.07212812581071848,0.022838299395573976,0.001587416314525225,73,135,193.22432019164083,193.22432019164083
41,0.048157413792778714,0.024016954124056078,0.0449478223914073,109,125,195.64648676551377,195.64648676551377
42,0.007750326840816779,0.02469890758581893,0.753678798417116,97,94,168.04420971266427,168.04420971266427
43,0.045036865578796714,0.023067367039784598,0.050890022464114386,167,139,220.9882240477491,220.9882240477491
44,0.06850562720314057,0.018294588105778907,1.8069270863327525e-4,222,193,274.16958717210866,274.16958717210866
45,0.07421092910879423,0.014650871561881822,4.077767660017967e-7,226,205,295.9001023589903,295.9001023589903
46,0.05694789810364842,0.014288866718883584,6.734572422047184e-5,203,196,294.6144455308858,294.6144455308858
47,0.056531940982786466,0.01345263422950217,2.642221960570631e-5,237,240,356.6046046157676,356.6046046157676
48,0.06267841897215876,0.015364616894011699,4.5152077120780706e-5,173,194,302.6620956617757,302.6620956617757
49,0.05646751472572742,0.013733486633205796,3.9281371066091576e-5,167,181,293.3810348230918,293.3810348230918
50,0.04814409693748889,0.014209866178058736,7.03849323317577e-4,177,169,301.38890644448173,301.38890644448173
