coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.046810147526793466,0.010400740019446438,6.77442319479594e-6,409,459,150.11339170841813,150.11339170841813,_no_controls,mserd,triangular
0.03709220407415871,0.009837327897298015,1.6288369161085477e-4,418,465,152.97322054482024,152.97322054482024,_geo,mserd,triangular
0.029911725522675667,0.011152714479389434,0.007318060995841059,322,370,114.74849803783579,114.74849803783579,_geo_enslaved,mserd,triangular
0.039402224388620705,0.01614368078115618,0.014657964920339016,285,341,129.40397453099453,129.40397453099453,_geo_noborder,mserd,triangular
0.036355141801479,0.02067818448825373,0.07872370334648852,213,252,98.01022121486908,98.01022121486908,_geo_noborder_enslaved,mserd,triangular
0.04386056903855051,0.010061430961319262,1.3049258809028802e-5,537,418,131.9619511907963,210.55465727585457,_no_controls,msetwo,triangular
0.03538816088521972,0.009691440868125128,2.6072728970221267e-4,509,423,134.95422229612154,194.87804780290938,_geo,msetwo,triangular
0.02940876416296899,0.010633343995662136,0.0056798720494033025,338,421,134.52724436106652,121.25186906153338,_geo_enslaved,msetwo,triangular
0.04998044057875111,0.018198378717733443,0.006024908038145689,309,253,98.57243872391639,140.23084755731026,_geo_noborder,msetwo,triangular
0.03825736310728073,0.01898905504278605,0.043935463287468675,269,251,97.6816205372259,122.96400052897981,_geo_noborder_enslaved,msetwo,triangular
0.0461763221200997,0.009565355910630836,1.3828914826844968e-6,477,530,181.0602421164079,181.0602421164079,_no_controls,msesum,triangular
0.03739881239314261,0.0099463145667904,1.698676364096924e-4,406,455,149.3961258895543,149.3961258895543,_geo,msesum,triangular
0.02954681208663294,0.010126403506363256,0.0035251127072396925,389,442,142.878379959126,142.878379959126,_geo_enslaved,msesum,triangular
0.0387054963089156,0.015710922706370086,0.013754788024860999,296,349,133.46447522910668,133.46447522910668,_geo_noborder,msesum,triangular
0.036364410545691464,0.020054775225688562,0.06979258424392058,222,261,101.09769799095412,101.09769799095412,_geo_noborder_enslaved,msesum,triangular
0.047709029880682596,0.012210608384385882,9.33800639670383e-5,298,344,102.51547201882661,102.51547201882661,_no_controls,cerrd,triangular
0.04126923401027671,0.011608833106653518,3.779998549121711e-4,302,350,104.48634026267368,104.48634026267368,_geo,cerrd,triangular
0.028951609173958476,0.013173562113004097,0.027970103349588125,241,268,78.38319558030896,78.38319558030896,_geo_enslaved,cerrd,triangular
0.04841501835320888,0.02286643699033025,0.03423472386523821,194,222,88.71529676746363,88.71529676746363,_geo_noborder,cerrd,triangular
