point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,-0.10734930546333835,0.1232493362622829,0.3837579914797632,38,112,163.772176866069,163.772176866069
2,-0.05530074376176116,0.10710555372684735,0.6056309020729478,43,97,146.362284949228,146.362284949228
3,-0.05015575032245199,0.069432688457088,0.47007004350995735,53,104,152.91368920058758,152.91368920058758
4,0.008908757889512574,0.08476891651680056,0.9163007206032041,56,100,150.23042144312012,150.23042144312012
5,0.1105365747793994,0.0925843955354552,0.23251681308600436,56,97,149.48118834305438,149.48118834305438
6,0.34939322361295666,0.09861351770543927,3.955185824126082e-4,49,102,150.25147079138483,150.25147079138483
7,0.4759142140457664,0.13344540046094014,3.6197532895870826e-4,47,71,129.8162556330999,129.8162556330999
8,0.60088723813053,0.21020075072578037,0.004254679306157574,44,44,111.88868402037592,111.88868402037592
9,0.41742911346545114,0.23941918248506772,0.08124502492945003,37,44,107.15362658208393,107.15362658208393
10,0.3634446942211363,0.20729175133835714,0.07955047040230256,32,36,97.28710379115238,97.28710379115238
11,0.6427759754316908,0.12358074250163761,1.9793849101465633e-7,26,34,86.99735901606962,86.99735901606962
12,0.3899649280027078,0.16253400250666672,0.016427252208204884,51,42,116.61449180371528,116.61449180371528
13,0.4157534049263748,0.14163443082199734,0.0033312026291303217,67,49,127.5659524667215,127.5659524667215
14,0.5500072903790303,0.17702639881906007,0.001890459926614946,102,61,151.91274029802057,151.91274029802057
15,0.5995666887376893,0.17145029766853384,4.704704205691519e-4,137,64,173.65709283668053,173.65709283668053
16,0.7458495247956871,0.14743894896492238,4.221226543037203e-7,128,56,163.37807029155053,163.37807029155053
17,0.8568681359390834,0.15598267420192385,3.943698841606373e-8,133,63,164.30409441998566,164.30409441998566
18,0.9850359225587756,0.1566003399431497,3.1720770903717936e-10,127,75,164.02302180135587,164.02302180135587
19,1.1940807922137706,0.13322007779016096,3.153341672612161e-19,134,91,168.81839321392553,168.81839321392553
20,1.0655304379528368,0.181253049705009,4.135266979607027e-9,110,96,157.16240721148912,157.16240721148912
21,0.9187298213921051,0.2072397083053367,9.285558692286743e-6,77,79,130.41664125748355,130.41664125748355
22,0.875780327152782,0.12764215339754356,6.827704991896372e-12,34,35,81.1671432012258,81.1671432012258
23,0.578852819927378,0.1860391026230465,0.0018616607026922703,45,34,86.30679456756603,86.30679456756603
24,0.5056130133228945,0.20155239608269163,0.012121291396497862,55,46,95.79857415814212,95.79857415814212
25,0.8426001661421727,0.1410497006485715,2.3181549622902882e-9,100,68,127.48482304935044,127.48482304935044
26,1.2044392305899567,0.15197767104221976,2.279508575621777e-15,82,75,123.05267631409376,123.05267631409376
27,1.1526934691975435,0.13179575583297545,2.2093343275863656e-18,115,141,168.13874962333213,168.13874962333213
28,1.045620422858399,0.12097959645560874,5.4780611874106166e-18,89,128,151.95444306468343,151.95444306468343
29,0.5581670202211879,0.1486282844837454,1.7302598395783108e-4,72,106,134.07722695773774,134.07722695773774
30,0.7634358685281992,0.11617032983291148,4.974599036762301e-11,201,191,219.13698407013092,219.13698407013092
31,0.6275673168307608,0.12299726278783206,3.3557359561755457e-7,162,129,183.74749170820422,183.74749170820422
32,0.425353832909186,0.09210507470484729,3.872010110999951e-6,147,101,170.2978241336823,170.2978241336823
33,0.33052226414102087,0.1419572818663172,0.01989501132049271,133,59,148.53679990521167,148.53679990521167
34,0.2201142146691401,0.14554227531632105,0.13043898716308502,99,59,137.30677916931418,137.30677916931418
35,0.2032145804245183,0.15096579690447,0.17827129133988268,100,63,142.64389918041968,142.64389918041968
36,0.10368735477639021,0.11571493043611479,0.37022148413097644,61,55,119.23562526966356,119.23562526966356
37,0.07782028675362493,0.10249551382905818,0.44769970753386124,57,59,123.93872011286136,123.93872011286136
38,0.1287654308422393,0.10627514370515358,0.22565664549166473,41,60,115.31929889997942,115.31929889997942
39,0.22095483668372445,0.10584326734359505,0.03683697569962866,42,80,134.23735940807825,134.23735940807825
40,0.21192374339654552,0.10277767422519939,0.03921127547819375,49,108,166.47423711629145,166.47423711629145
41,0.20895888185554848,0.09809994565150518,0.0331665662139866,49,74,134.1433756369549,134.1433756369549
42,0.001144886505989047,0.10053935811298284,0.9909143290553162,93,92,165.35018262299354,165.35018262299354
43,0.0725347815585077,0.12371630827981807,0.5576744197377417,125,101,183.50801079914453,183.50801079914453
44,0.2813909475115085,0.12281460430953421,0.021952731045056365,154,127,209.08742709515914,209.08742709515914
45,0.28511711249462723,0.12651656751355847,0.024221653932743788,155,139,217.41352952756577,217.41352952756577
46,0.1010180344906934,0.13942473361475585,0.468737633349143,65,57,130.29860401328355,130.29860401328355
47,-0.1764528012095422,0.13546015193331926,0.19270528754832494,50,51,118.05451751896368,118.05451751896368
48,-0.27387605959188943,0.14218931710569532,0.054087309306201446,31,58,112.62180362544467,112.62180362544467
49,-0.23716935136456085,0.1526393498915562,0.12023474191262688,32,51,113.86585073768066,113.86585073768066
50,-0.1523192853290559,0.2290438151520659,0.5060361166738943,33,28,112.27789030855757,112.27789030855757
