point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.0064203664365125,0.09752079387696069,0.947508496993447,49,128,184.88709399144136,184.88709399144136
2,0.028849694974831044,0.09555638593279692,0.7627185462882117,52,122,168.5835178112185,168.5835178112185
3,0.027830435605764745,0.0661620665750424,0.6740177162801038,74,185,209.18024289470975,209.18024289470975
4,0.0066595681978146165,0.07877943952787268,0.9326315984286311,47,64,121.85882003861013,121.85882003861013
5,0.025371316874515597,0.08595095781350717,0.7678535963339875,42,70,125.574425146624,125.574425146624
6,0.2058598615811572,0.10075710426829004,0.04103957171011784,31,64,113.41212530721803,113.41212530721803
7,0.07920766281683417,0.10572598928001747,0.45374948483333577,45,69,126.36317358538689,126.36317358538689
8,0.17458862512462525,0.1475714936962662,0.23677813524473665,44,39,107.72432623706149,107.72432623706149
9,-0.09006014876482293,0.12619402011005457,0.47543487627045,46,48,115.79804773861683,115.79804773861683
10,-0.08805387828084071,0.14180995088714404,0.5346464911232369,46,51,119.0715596301268,119.0715596301268
11,0.3021979755931696,0.13685573987898692,0.027233831973148215,39,57,114.80233875681853,114.80233875681853
12,0.018521681729646217,0.10501261012658261,0.8599987258300866,63,50,125.91050794409637,125.91050794409637
13,0.16409812956954717,0.10207417843085863,0.1079149107743984,84,59,141.51443645315575,141.51443645315575
14,0.4205255794037771,0.10468518430919425,5.89313200034962e-5,273,151,256.5751872029364,256.5751872029364
15,0.5018734450668776,0.12382410987578198,5.053998892838479e-5,178,83,203.74715864347573,203.74715864347573
16,0.5953451835008701,0.10748501272886886,3.044348287406904e-8,181,78,199.75770162791787,199.75770162791787
17,0.5732475161884498,0.09396721342922797,1.0573344635434061e-9,156,74,182.51576772349495,182.51576772349495
18,0.5398602536113088,0.09383939639161133,8.766128874385822e-9,160,90,184.42086749251314,184.42086749251314
19,0.5857690007609567,0.0810646344106453,4.976105588905061e-13,129,88,164.12369338231622,164.12369338231622
20,0.4581413793042083,0.07395208020183562,5.824380012907735e-10,79,79,133.8830813737729,133.8830813737729
21,0.31906359054463984,0.08413326249501217,1.4922258472657135e-4,41,54,97.93530525789227,97.93530525789227
22,0.4100772007764827,0.08445445492885063,1.2002169316940356e-6,48,50,98.15196858853723,98.15196858853723
23,0.25300293164842447,0.11787416689526443,0.03184255373980777,72,52,107.54149241710935,107.54149241710935
24,0.24266455185078772,0.1250385161474885,0.0522924405346805,86,75,125.37674185220342,125.37674185220342
25,0.35760667099960164,0.1263366473247325,0.004646290367728167,84,52,110.85373266645084,110.85373266645084
26,0.39680077577004247,0.10374859710901185,1.309646355033754e-4,60,47,93.58491309117724,93.58491309117724
27,0.3041435041652264,0.1028857584496727,0.0031152745374103314,67,70,112.16194053606367,112.16194053606367
28,0.1582805066559715,0.09105175599389807,0.08214783321825377,77,107,134.58398771013367,134.58398771013367
29,-0.06761262142367724,0.11386841819180125,0.5526602540622452,71,106,133.07304428771067,133.07304428771067
30,-0.06474270038707908,0.08254775242837223,0.4328605592829569,80,80,128.43806304593662,128.43806304593662
31,0.03214544039321793,0.09263808023513503,0.7285911034460117,117,92,153.33914376542356,153.33914376542356
32,0.12331268745444064,0.08078152842494224,0.1268863629451479,121,84,156.0360413210436,156.0360413210436
33,0.11065952858349232,0.1161788364364027,0.34084701376192744,137,61,151.69844645262472,151.69844645262472
34,0.06048992498394101,0.083658761422012215,0.4696458062669727,157,103,181.15029557848558,181.15029557848558
35,0.12061715867494746,0.09631723479779748,0.2104640271864575,178,120,197.31843734899832,197.31843734899832
36,0.06413536980333298,0.07634746623731058,0.4008826968732825,180,143,210.94161772836208,210.94161772836208
37,0.04264694347199463,0.08457967142713131,0.6141052793831215,176,140,213.7976024144134,213.7976024144134
38,0.04008981247109086,0.07312860813090173,0.583547921070238,144,139,209.9158972891845,209.9158972891845
39,0.08457219281047537,0.07651856873515006,0.269051023658496,121,155,217.57295021107333,217.57295021107333
40,0.1972598434998518,0.09354186938119032,0.03496300317443663,71,134,190.18153884806034,190.18153884806034
41,0.14449239087476728,0.07445061946901639,0.05228477620119126,128,145,211.40165648864445,211.40165648864445
42,0.08697560470172336,0.09138740703621238,0.3412368848617591,118,110,185.45829768662531,185.45829768662531
43,0.09046865540100874,0.09529931403655086,0.34246262973384584,128,104,187.80524377216895,187.80524377216895
44,0.17191099245810285,0.09801181121269101,0.0794335218984066,135,99,186.47981828513502,186.47981828513502
45,0.24241671861703729,0.09552957104745623,0.011161254061112296,137,109,195.27015111604044,195.27015111604044
46,0.15608640123923698,0.09009572887609456,0.08319336207501545,130,116,199.5094106649413,199.5094106649413
47,-0.006361268395438088,0.09549500095640995,0.9468892968879619,116,122,212.84076268607296,212.84076268607296
48,-0.1629116576705396,0.09026632074833202,0.07110771518909198,103,130,224.55467191114334,224.55467191114334
49,-0.17913010865105475,0.09050853998344041,0.047798956596811985,103,112,218.61107860654607,218.61107860654607
50,-0.23581239672286772,0.1327983063099694,0.07577934219130904,101,82,206.44644197563912,206.44644197563912
