point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,-0.012244427941960862,0.2934277791833231,0.9667147893774042,23,88,146.08143805032057,146.08143805032057
2,-0.3030591010362587,0.2160290769778986,0.16065783134198816,21,59,115.91888566017214,115.91888566017214
3,0.05620381334017218,0.09722420329886004,0.5632070129436335,36,85,144.5900950068889,144.5900950068889
4,0.1533173206051912,0.11395982530760035,0.1785080712999998,39,83,145.8267208083342,145.8267208083342
5,-0.03949630787033024,0.1708500848661165,0.817178671503377,26,54,120.79336993419004,120.79336993419004
6,-0.2696757876156459,0.40468965384723843,0.5051703017097348,14,44,99.40460027170555,99.40460027170555
7,0.3540576599505755,0.3141371773217226,0.2597087525274661,24,38,101.86349230515235,101.86349230515235
8,1.0944115786510467,0.27444731192600624,6.671896959425746e-5,22,23,97.33057217156295,97.33057217156295
9,0.3278491891718759,0.16432247400794525,0.04602572278838013,18,19,84.8582559755651,84.8582559755651
10,0.5084452020503026,0.22322469091835614,0.0227427688479689,15,20,85.49406531981494,85.49406531981494
11,0.5869761012453745,0.2343250090625409,0.012246328224976,13,20,80.04966160657355,80.04966160657355
12,0.45878503714351304,0.34376825141711126,0.18201498660887283,20,13,82.19906445031873,82.19906445031873
13,0.37829814030939146,0.3114357247874409,0.22448400522531683,39,26,111.63586084201212,111.63586084201212
14,0.3120863596796677,0.3291072276199736,0.3429860670352298,70,40,142.3323692755884,142.3323692755884
15,0.506815547780197,0.2250339881815748,0.024311320357343447,141,52,193.1432266212087,193.1432266212087
16,0.6393758882983174,0.21814380710370107,0.003378907823574266,107,36,162.67574821161048,162.67574821161048
17,0.9534754316812241,0.19341003168149523,8.230805297219996e-7,90,36,149.6634174583124,149.6634174583124
18,1.132670997933595,0.20380089242413404,2.7330061808252897e-8,84,43,145.85880841733731,145.85880841733731
19,1.1967529758670976,0.1940135291016191,6.898462833978463e-10,95,59,158.08310705531989,158.08310705531989
20,1.0675896136207716,0.19645211241207086,5.499641804121306e-8,58,58,134.4755935553428,134.4755935553428
21,0.6944124176366518,0.16153515278502178,1.7170087356161963e-5,26,38,96.17869947100938,96.17869947100938
22,0.26623664939987624,0.34133967190796144,0.4354051787630688,16,18,70.3524038348582,70.3524038348582
23,0.16071451050241115,0.4052746770909946,0.6916941662882176,29,20,81.02174808638996,81.02174808638996
24,0.6683662690614175,0.4820822761036565,0.165620110993646,45,39,101.24185634164726,101.24185634164726
25,0.7388895146329029,0.2531418772804468,0.003512969812226197,79,49,128.52738388606952,128.52738388606952
26,1.592969520674656,0.24065928928588998,3.611728027112216e-11,54,51,112.93098893357451,112.93098893357451
27,1.7423461633037072,0.15974516703139868,1.0667890709994893e-27,58,68,125.90744079873251,125.90744079873251
28,1.3911443389258744,0.21227614781296153,5.621705371519946e-11,41,68,114.98853587010673,114.98853587010673
29,1.0199538785695887,0.23912417494110838,1.9956821360680316e-5,39,66,113.5603332981206,113.5603332981206
30,1.2286010015686848,0.17027099342330565,5.371146846350582e-13,107,113,175.67488425458714,175.67488425458714
31,0.9978246736300754,0.15900447152400954,3.4862361790494313e-10,136,109,188.42397237692762,188.42397237692762
32,0.7550795405289287,0.1743315946257282,1.482427366751116e-5,123,86,176.40020659658595,176.40020659658595
33,0.6799188165196075,0.19623882093311645,5.307209588124608e-4,132,55,167.98727803351957,167.98727803351957
34,0.4466884369688657,0.20739010561595161,0.03125146129086614,103,63,160.43750964053658,160.43750964053658
35,0.26767394529560823,0.19702414873006077,0.17427830451494564,87,53,153.75282602463892,153.75282602463892
36,0.12363021407361333,0.14941715123610305,0.40800104011400856,36,36,114.02325826893116,114.02325826893116
37,0.05438435993053301,0.1455861078284251,0.7087357181280396,37,42,121.67294191768327,121.67294191768327
38,0.11673041852671706,0.17391770714682486,0.5021046526216,27,43,113.24797667552079,113.24797667552079
39,0.33109012709531277,0.29927165034844366,0.26858816122236917,17,40,103.80050346958619,103.80050346958619
40,0.17997107125447886,0.590493625093624,0.7605331677862842,6,41,98.29105538749633,98.29105538749633
41,0.22400208434152086,0.19573203285398114,0.25244434884844874,27,46,118.22353171671713,118.22353171671713
42,0.07389961635485297,0.1321589238740386,0.576044099927939,92,86,182.4349008537153,182.4349008537153
43,0.31241456783684285,0.15479889355195775,0.04357081218414074,116,91,200.53007684343092,200.53007684343092
44,0.3152234232024546,0.16455393065497087,0.05541300003923445,120,90,196.18104597055273,196.18104597055273
45,0.40085670472559604,0.15207671476269724,0.00839182099777588,135,118,223.41915071991457,223.41915071991457
46,0.40123078913129545,0.17565352912328755,0.02235877701312715,117,107,216.20644079645737,216.20644079645737
47,0.3153036035974,0.24256081989942255,0.193636949684574,101,105,212.95107929856633,212.95107929856633
48,-0.4828636886697215,0.5513781499194927,0.3811716040772594,33,56,134.74202336187994,134.74202336187994
49,-0.39424447808609897,0.37328859215861077,0.2909049134498352,45,58,148.56590133694453,148.56590133694453
50,-0.06358468568292791,0.31140703958643823,0.8382088340718586,68,56,173.24963456242867,173.24963456242867
