point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.0824999194695657,0.12735984992414848,0.5171335718615477,26,80,130.3726832335805,130.3726832335805
2,-0.07234843177139183,0.1422099900959852,0.6109319104566433,31,70,120.00641238574953,120.00641238574953
3,-0.037262269655460756,0.09563100764502054,0.6967980997987333,37,52,109.55803881263725,109.55803881263725
4,0.2200368140014639,0.07382124243986052,0.002876178955921649,77,194,208.10356710891622,208.10356710891622
5,0.16471119555577474,0.10211275765233024,0.10673744968982442,70,145,182.13154053534348,182.13154053534348
6,0.1901023063441194,0.1568190774924718,0.2254206511734023,45,86,138.31940332849686,138.31940332849686
7,0.3567199724454255,0.1550800805895603,0.021435149721992966,55,87,146.85030066690183,146.85030066690183
8,0.5122923401970958,0.1609646062899499,0.0014593911316925503,82,109,175.32757869262502,175.32757869262502
9,0.3783423513913533,0.2746616836859713,0.1683623469415105,60,71,141.68299583794598,141.68299583794598
10,0.20146947299140905,0.23688111918429225,0.395042278041829,59,72,139.56156804824008,139.56156804824008
11,0.4327391901413762,0.1461790542353723,0.003073031851185624,43,61,120.87696243939762,120.87696243939762
12,0.11258168226191323,0.13564873070589165,0.4065669777771614,82,63,143.33885573498543,143.33885573498543
13,0.25018916027194393,0.1430789425338143,0.08035858884959066,102,72,158.9682429832853,158.9682429832853
14,0.47341514016019914,0.17625221101238295,0.00723109996539266,88,59,142.16712861218178,142.16712861218178
15,0.7800494743512711,0.19010041458361113,4.0720181216233835e-5,110,47,150.39457424293064,150.39457424293064
16,0.9084672467432569,0.14915362256960266,1.123367202514902e-9,129,56,165.28620898556358,165.28620898556358
17,0.9502108626678769,0.1446259385137582,5.02721805521389e-11,151,74,179.3574147629101,179.3574147629101
18,0.9640235789441185,0.1789868957288002,7.20426075999782e-8,108,65,149.4334078399861,149.4334078399861
19,1.1329868057514219,0.17678245846600593,1.4654225618857063e-10,113,82,155.2839951381515,155.2839951381515
20,1.0632890616098791,0.17530342780816308,1.3160859291089129e-9,133,107,169.96807338678866,169.96807338678866
21,1.0120591002687647,0.1746116565001308,6.7892228395920665e-9,140,110,172.1012362220086,172.1012362220086
22,0.8092545780141194,0.19411290151137534,3.059535674016078e-5,79,76,124.20286524307006,124.20286524307006
23,0.7463068730556408,0.1717953556896576,1.3980825569224618e-5,120,95,148.45191516502766,148.45191516502766
24,0.8702456949339386,0.19473127395939094,7.860191889018078e-6,116,110,153.83026443711225,153.83026443711225
25,1.2364569587517735,0.17726920619818592,3.05818714309613e-12,95,66,123.87905595302138,123.87905595302138
26,1.354687270635253,0.19016386711626806,1.0499972404507705e-12,66,57,104.77884411074963,104.77884411074963
27,1.0072682784669915,0.1641920831160574,8.532296690168685e-10,67,67,110.65396997974375,110.65396997974375
28,0.6525371549672911,0.14693226682896654,8.95107636522662e-6,77,108,136.38249486889248,136.38249486889248
29,-0.09808887514837039,0.19798766159590286,0.620297164483109,57,77,110.420954969567,110.420954969567
30,0.4267945245513438,0.19932714541617685,0.032259837724053234,85,82,133.16693042471613,133.16693042471613
31,0.01909312859905299,0.1601007748038199,0.9050717963565017,272,223,257.22010445022374,257.22010445022374
32,-0.08287639851882034,0.14940441926311845,0.5790917845824298,105,69,139.54940751897686,139.54940751897686
33,-0.20140494738194903,0.13274008464032627,0.1291939678873127,132,56,147.99815311477107,147.99815311477107
34,-0.36458554298999246,0.1149796998468683,0.0015198376985703047,152,101,176.22076943409502,176.22076943409502
35,-0.34743497113968047,0.1403630130625713,0.013313916010996832,151,102,179.370474574262,179.370474574262
36,-0.3649357354973759,0.12924486261575935,0.004748767651773689,105,95,164.33662918458867,164.33662918458867
37,-0.27763170898705347,0.11386074662837774,0.01475471104101,93,92,160.04302624934772,160.04302624934772
38,-0.27687609531033,0.1275319450213179,0.02992865772921992,64,86,144.52674130657803,144.52674130657803
39,-0.16993994313989447,0.12600807142529635,0.17745156087516653,56,101,160.71409782884487,160.71409782884487
40,-0.04799154419975338,0.12219046844881888,0.6944966551331064,54,111,170.57370817339793,170.57370817339793
41,-0.16803884296435356,0.12915633728514514,0.19324136629697072,75,101,165.18943105994495,165.18943105994495
42,-0.3595974351896132,0.137404446351718,0.008868743161782055,77,80,149.48431699961856,149.48431699961856
43,-0.07629552743967238,0.11428033121145434,0.5043779046442611,160,127,213.09118013009063,213.09118013009063
44,0.37811211456956073,0.1484624105853992,0.010869883635539245,181,161,239.16199049128463,239.16199049128463
45,0.6392248163236474,0.16063945010601924,6.913249944346737e-5,166,148,227.6053427747961,227.6053427747961
46,0.6053462265429914,0.1302050598486544,3.3326390695411416e-6,180,168,262.62932623264214,262.62932623264214
47,0.21219722586775447,0.13071708433886756,0.10451845257586072,138,137,230.8251364967056,230.8251364967056
48,-0.02549540360526592,0.12520721128369683,0.8386460234113683,124,154,246.63751519991186,246.63751519991186
49,-0.03002176254159039,0.12853107699185667,0.8153142359023371,126,138,245.4040582118233,245.4040582118233
50,-0.1975822022900715,0.16857725532652712,0.24117405281611307,105,86,210.07889239326224,210.07889239326224
