point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.03753247379252342,0.09768027938979046,0.7008020666776871,42,124,178.26893544143283,178.26893544143283
2,-0.05873818961528999,0.10751389349883152,0.5848383242104371,45,97,148.892583499694,148.892583499694
3,-0.07944900653293202,0.0924582106729375,0.3901770160924338,57,124,168.43804366060817,168.43804366060817
4,0.032002085523953214,0.08296089210835458,0.699682530512993,64,125,168.69329094214214,168.69329094214214
5,0.09045416499882603,0.09883851089092917,0.36010172749130387,59,105,157.15202419041464,157.15202419041464
6,0.12718111467926368,0.1339435612443847,0.34235990755645834,49,98,149.8825315096776,149.8825315096776
7,0.4303879186014421,0.14531662240636073,0.0030592057479440454,47,72,132.99886524873625,132.99886524873625
8,0.5920521206789762,0.18160102360481248,0.001113413216318185,50,56,123.28905134596866,123.28905134596866
9,0.6980973954137337,0.20315164203531,5.89638202663196e-4,52,59,125.75871722031087,125.75871722031087
10,0.32705869340098387,0.2937604211118154,0.26555736767279475,78,88,155.341429615453,155.341429615453
11,0.09651491831511541,0.2674580039015552,0.7182040425828624,104,108,176.88265015112293,176.88265015112293
12,0.12043311272768974,0.1410806954034992,0.39330060715821835,185,132,227.22570311767745,227.22570311767745
13,0.10987655059371033,0.13043598888056837,0.39957578926661014,134,87,182.3976515063588,182.3976515063588
14,0.1475249762797097,0.17292142143007003,0.3935855362193335,143,88,188.06684015095075,188.06684015095075
15,0.2801451384967372,0.14742483715091698,0.05739934819612493,205,94,218.34814612480918,218.34814612480918
16,0.41638264196373653,0.1413304957902793,0.003217430634914075,166,74,193.7669030835861,193.7669030835861
17,0.6740946331315452,0.18955906505528522,3.7637334461302545e-4,87,43,126.89067461031821,126.89067461031821
18,0.7167855816767352,0.12553192243088038,1.1298513923546892e-8,74,46,120.82004918282996,120.82004918282996
19,0.7353270106340349,0.10805145412569563,1.0081003559869145e-11,105,78,149.7270333841109,149.7270333841109
20,0.6893324380295338,0.15160195129985515,5.441878484055802e-6,60,71,121.90301015204372,121.90301015204372
21,0.2588558275002776,0.2664644526847058,0.3313262297616158,53,62,109.95286082374108,109.95286082374108
22,0.49049527434032314,0.15965730072713125,0.0021250462601505164,47,49,96.7446771463287,96.7446771463287
23,0.2053801447130708,0.13000050324245974,0.11414324891651646,57,40,97.00618429039115,97.00618429039115
24,0.28448994144499296,0.183352305037567,0.1207573038023165,71,60,110.33527175404404,110.33527175404404
25,0.4122511800677316,0.20429508323439666,0.04359957044174685,100,69,128.71891154416767,128.71891154416767
26,0.7118996384630577,0.22184508295436897,0.0013320006634762415,98,95,139.90954597559684,139.90954597559684
27,0.7961547413840977,0.1658330701966467,1.5792200669630487e-6,100,117,151.17051382471465,151.17051382471465
28,0.8317737439241117,0.17833120418798046,3.0980861908511742e-6,137,185,194.39441444525943,194.39441444525943
29,0.525850413645217,0.15545272236037594,7.177616985913018e-4,158,200,207.9203041349323,207.9203041349323
30,0.8586622338318547,0.21225725716088886,5.2237299163157e-5,136,135,176.30959703458083,176.30959703458083
31,0.7015372771041732,0.1616355968330774,1.4232720441121367e-5,205,164,213.25518090947892,213.25518090947892
32,0.3272862325680964,0.14888944739730822,0.027936076999372197,248,189,241.46964456177636,241.46964456177636
33,0.03079283803396135,0.13007670563592494,0.8128675748582423,282,167,242.37058843222468,242.37058843222468
34,-0.0013307193349734684,0.1315054658966067,0.991926249718398,243,168,234.88608352722702,234.88608352722702
35,-0.1445895562732639,0.13724389970949447,0.29210152116269633,221,149,222.78374484026182,222.78374484026182
36,-0.16687420761251964,0.12808049488413414,0.19261388696578535,236,182,243.91592950060877,243.91592950060877
37,-0.17143326343140508,0.11705695318648411,0.14304955668985353,238,179,248.0192645331723,248.0192645331723
38,-0.17563396175250276,0.12576604876351533,0.1625599736487329,247,211,267.29866880104134,267.29866880104134
39,-0.226851097382868,0.12855243167259273,0.07762123462619454,261,276,299.96427204678594,299.96427204678594
40,-0.2858775148522132,0.1404719158757174,0.04183857847050044,245,292,310.8006325253136,310.8006325253136
41,-0.13035394288905514,0.13558195174493382,0.33633086451923744,268,254,292.0897300137025,292.0897300137025
42,-0.03731851717186517,0.15479858918480097,0.8094947491140672,188,148,232.7595800526341,232.7595800526341
43,-0.1205261842079887,0.15260654318593453,0.42965400852852453,222,187,260.98154597362,260.98154597362
44,-0.09953586642249598,0.13618811413458806,0.46485829517213045,213,186,265.9967941703368,265.9967941703368
45,-0.17192617881219036,0.1352370506770435,0.20362374025329336,229,209,301.16080992424673,301.16080992424673
46,-0.18861708722758222,0.13880342293547246,0.17418486431354988,217,208,310.46751019923494,310.46751019923494
47,-0.2705897431299976,0.1513890967354884,0.07387619920541659,215,215,329.5017671615171,329.5017671615171
48,-0.640431420784118,0.17871727448953348,3.3903480441640604e-4,160,181,287.79793795356125,287.79793795356125
49,-0.5879099275455418,0.15385819315346733,1.328494093717325e-4,161,171,286.75594784678765,286.75594784678765
50,-0.2910483693143342,0.14868575239334797,0.05029186459067296,214,203,354.0891263910186,354.0891263910186
