point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.09012263532598142,0.18921051301954786,0.6338543859506631,28,98,160.27094511286012,160.27094511286012
2,-0.08258996770586335,0.17420115008010034,0.6354236765383898,30,81,139.6405937767506,139.6405937767506
3,0.004859474233598296,0.1641656489301801,0.9763852344548766,43,115,169.59419886843392,169.59419886843392
4,0.04151318978219382,0.1476793516232925,0.7786309795521547,46,102,162.54568330618875,162.54568330618875
5,0.07115352508145276,0.18459115625049108,0.6998925514033203,37,72,140.3794903441895,140.3794903441895
6,-0.043928821064202137,0.25644908647599435,0.8639906626702264,21,56,120.55765063701482,120.55765063701482
7,0.4088444055778801,0.29163732293956807,0.1609471150807795,28,51,120.84305630357926,120.84305630357926
8,0.9475524975006434,0.2247325960284219,2.4828235139001257e-5,32,36,114.48419389795745,114.48419389795745
9,1.07702339345881,0.22931509193795055,2.6440284695927213e-6,25,31,104.50113502202268,104.50113502202268
10,0.8074519318809474,0.21760686941675378,2.0676903960669126e-4,29,34,110.23199552922719,110.23199552922719
11,0.30967061406526597,0.2596554291489702,0.23301769201491268,27,41,113.39592010355834,113.39592010355834
12,-0.10155538964830983,0.15037709094236196,0.49946093742398223,111,71,188.32415511256195,188.32415511256195
13,-0.261286060581542,0.1580023064040738,0.09819151070434252,106,65,180.17894748430746,180.17894748430746
14,-0.21198511463153039,0.21737260232689587,0.329453412612154,98,55,170.64722113382865,170.64722113382865
15,0.009856385845100495,0.14644314545212128,0.9463387337335435,186,71,222.11858296369755,222.11858296369755
16,0.10694988616956308,0.15483305331596714,0.4897269057232478,137,51,189.9122455417025,189.9122455417025
17,0.5176829220657273,0.14016831653863399,2.2136710099434294e-4,70,27,127.80945469781773,127.80945469781773
18,0.5839331205675219,0.1349998867809795,1.5223174049688783e-5,75,38,139.19680402860172,139.19680402860172
19,0.6243469036333019,0.11445125716537186,4.893602602023237e-8,72,49,141.7616995089874,141.7616995089874
20,0.46377955908753127,0.16888337940548567,0.00602986791218714,25,40,101.82379802335655,101.82379802335655
21,0.27906878770024307,0.1602858512689053,0.08167141784974179,23,35,91.13302039381871,91.13302039381871
22,0.28829457973469824,0.19126737012989037,0.13173743087689715,20,23,79.30311346724568,79.30311346724568
23,0.1805232151504457,0.20163999719696837,0.37064018933860277,38,25,90.16646161186036,90.16646161186036
24,0.6382452973232022,0.2967707392630836,0.03150508478822509,49,42,107.95433378122723,107.95433378122723
25,0.3228645101135348,0.16320149728846733,0.047892808934584974,87,62,139.36844291626218,139.36844291626218
26,0.8448905828396611,0.23261403397591307,2.810625382522946e-4,48,44,107.61846836128024,107.61846836128024
27,0.9335116890234842,0.18424189114930525,4.0461804571201657e-7,50,61,117.42607508914496,117.42607508914496
28,0.9623860136233611,0.1888366770187055,3.4618516689891085e-7,45,70,119.37802571033737,119.37802571033737
29,1.1413229322646041,0.24806668635969653,4.20727051466108e-6,40,71,118.63983903493583,118.63983903493583
30,1.2703008391730906,0.3031051840081455,2.7778011867223852e-5,52,51,118.52270927817241,118.52270927817241
31,0.9210228664481825,0.23741306779553636,1.0470970415360088e-4,62,41,119.72166358959659,119.72166358959659
32,0.44228259413620663,0.2198807833863287,0.04427631844132247,80,52,138.4442069737105,138.4442069737105
33,0.3889964446574276,0.202021946823051,0.05416486488709456,124,50,159.6583937531395,159.6583937531395
34,-0.0838400786262721,0.16017322929859898,0.6006724230135219,112,64,163.7347232258123,163.7347232258123
35,-0.3091561601304755,0.18546810153241458,0.09553495392481978,100,61,162.51268188749216,162.51268188749216
36,-0.5040195692047177,0.20932726621575867,0.01604868103496931,70,67,153.27030038878127,153.27030038878127
37,-0.387179833946104,0.14408170484180563,0.007204858977436411,88,78,173.13895889966636,173.13895889966636
38,-0.2819565096968061,0.12783855141425354,0.027414321171621934,133,127,224.52985542456787,224.52985542456787
39,-0.267024451028383,0.1335169546674998,0.04550791385053245,105,140,225.54047380362763,225.54047380362763
40,-0.2810814879309874,0.1625491316686694,0.08377162296172452,87,153,230.1953272467661,230.1953272467661
41,-0.2542685389769852,0.13518189679473958,0.05998058233485779,129,135,229.284357121175,229.284357121175
42,-0.23799539194227898,0.1427364001971022,0.09543946266730198,160,130,237.162689344029,237.162689344029
43,-0.09424604322896658,0.17188214107552047,0.5834736841896551,158,130,238.42274532966158,238.42274532966158
44,-0.09371431889104485,0.14656156191189973,0.5225500745144623,185,161,268.755439067565,268.755439067565
45,-0.14181562643948722,0.18042374390276267,0.4318591625286694,176,157,273.6309149003238,273.6309149003238
46,-0.1756621972758491,0.18872073247305718,0.35195445411184145,173,161,288.3099465200112,288.3099465200112
47,-0.22027530308405943,0.219395354861945,0.3153734138143981,176,181,314.46445426348305,314.46445426348305
48,-0.41304548591550827,0.23469862654048013,0.07842521633378023,164,181,320.34415283291,320.34415283291
49,-0.210743946349911,0.22324873116260263,0.345176185359538,184,185,340.74319363377987,340.74319363377987
50,-0.05663565243785429,0.21626615705401256,0.793414418415932,187,172,347.74349561999503,347.74349561999503
