point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.13497050160923807,0.17911909933516332,0.4511352242605296,39,125,196.9732102373724,196.9732102373724
2,-0.011290152121315095,0.11691844277570863,0.9230723776092179,60,169,227.36960016966995,227.36960016966995
3,0.01320809856531413,0.1274626331721289,0.9174682971651815,55,153,201.0681844829315,201.0681844829315
4,-0.01609870076337841,0.1295504416902315,0.9011047548208075,49,126,178.45722858825522,178.45722858825522
5,-0.02115254774060304,0.16478824969153968,0.8978625094598585,41,83,149.162314126282,149.162314126282
6,0.06714875108416543,0.22678249054202715,0.7671589144563689,30,74,136.67771008908142,136.67771008908142
7,0.06108397624180853,0.20704082200274215,0.7679682966207776,41,73,149.12253485957834,149.12253485957834
8,0.2939979663364029,0.15450855157463222,0.057067412319807595,50,71,152.38055397889644,152.38055397889644
9,0.5405198868214949,0.1347912007506762,6.0705067046950635e-5,44,56,140.38891758785354,140.38891758785354
10,0.09656849817947688,0.1634317982153431,0.5546011667620224,89,101,191.57716251610563,191.57716251610563
11,-0.07020022559280051,0.16943013910840385,0.6786314258575195,93,97,191.7758738339573,191.7758738339573
12,-0.3327620580272467,0.15137650917000062,0.027931932069545425,104,68,182.98016922478763,182.98016922478763
13,-0.46648167584138617,0.1642323543613569,0.004506035473973048,81,54,159.53912461170586,159.53912461170586
14,-0.2308380737891661,0.1790555625654624,0.1973292589230205,128,69,193.20374343508635,193.20374343508635
15,-0.04314944383247751,0.14447243728899867,0.7651925835716985,102,35,162.22688442512313,162.22688442512313
16,0.03724995747630004,0.1205096641623692,0.757242806329963,217,80,237.08673923217853,237.08673923217853
17,0.11781350868280505,0.11227283783189172,0.2940170356857749,117,47,171.27152692099875,171.27152692099875
18,0.1360413123475676,0.09543725979441928,0.15402634518189598,110,58,169.51721349683714,169.51721349683714
19,0.1665403833666257,0.08999774834235941,0.0642422379487833,108,67,168.68376772377877,168.68376772377877
20,0.3345857286521704,0.12496732063371528,0.007419914409429554,51,56,130.39060902500117,130.39060902500117
21,0.20094969034146454,0.11936241919245438,0.09227338469875769,59,60,133.52061975010594,133.52061975010594
22,0.09702791579351355,0.10786522782829723,0.3683708807522367,122,88,175.04069598533647,175.04069598533647
23,0.0204101857820142,0.13787980997582874,0.8823200225262963,86,62,139.92761558308814,139.92761558308814
24,0.3267801792433197,0.1650364677558093,0.047698100408284906,59,49,116.08180299926416,116.08180299926416
25,-0.04297393892553303,0.1216393782112723,0.7238712696770827,88,62,139.48945853886607,139.48945853886607
26,0.04769920890427748,0.13057861081096234,0.7148940953824262,80,84,146.06644363075793,146.06644363075793
27,0.07509709667335085,0.13648296735540708,0.582161259830798,77,96,150.37516447507466,150.37516447507466
28,0.22074532998311536,0.15745283049039704,0.16092195748299148,61,103,148.45474174197804,148.45474174197804
29,0.5177849092373357,0.2023882642363941,0.010516286851440298,64,113,154.40560280312397,154.40560280312397
30,0.5568609673154535,0.21066801048624534,0.008209970430762681,76,84,149.4840319853351,149.4840319853351
31,0.38648335413600576,0.16518918324649318,0.01930229391004721,109,84,167.19400333371277,167.19400333371277
32,0.08355543307153729,0.1968934329954168,0.6712968591799807,85,55,142.54912394482932,142.54912394482932
33,0.02632132952170777,0.17828464345348782,0.8826296091289457,124,49,159.39281200810808,159.39281200810808
34,-0.41128649453753346,0.18761874468823211,0.028369422510009405,89,49,150.1782108126035,150.1782108126035
35,-0.48079176935595364,0.23359711741774916,0.039570042219189715,71,42,139.2074683229717,139.2074683229717
36,-0.45642401406440747,0.21355575999466933,0.032576914866897386,53,52,137.25698217577084,137.25698217577084
37,-0.37428624903939495,0.1513876459804509,0.013422058264571579,61,66,153.71431731218354,153.71431731218354
38,-0.32721909207290645,0.14001333676075917,0.019436241522288417,75,91,180.09030404467188,180.09030404467188
39,-0.21835536818582224,0.18247285656913323,0.2314446606595415,39,82,160.60069452553594,160.60069452553594
40,-0.09510839635621604,0.2967499409395033,0.748589227470192,20,65,135.39448742815603,135.39448742815603
41,-0.21715341561323787,0.16566951828254287,0.1899379673359076,55,83,165.930487241313,165.930487241313
42,-0.23914750345894598,0.1754538327152795,0.17287545239627994,77,76,170.5775529845385,170.5775529845385
43,-0.07917870996824034,0.27263031475543664,0.7714909777150852,59,44,137.42728967404187,137.42728967404187
44,-0.25117148323505034,0.26993756086342435,0.3521226499091943,79,45,151.85344352576763,151.85344352576763
45,-0.47312680796812523,0.20705552604810756,0.022311431400596687,120,97,202.66840920466606,202.66840920466606
46,-0.5204617218772087,0.19577731841875362,0.007850396118127571,148,137,253.48477561018942,253.48477561018942
47,-0.617407088293333,0.2134840298345301,0.003827336080560909,167,166,299.4633833229957,299.4633833229957
48,-0.7101692033697737,0.2249283579684493,0.0015923039069615562,163,181,321.8395262679695,321.8395262679695
49,-0.6972168159078435,0.23205491954333812,0.0026598832858681443,168,175,322.86378200380034,322.86378200380034
50,-0.7219412588583927,0.2388782080956501,0.002509324068803441,155,146,302.47398196883495,302.47398196883495
